id_obat;nama_obat;kategori_penyakit;indikasi;satuan_tersedia;harga_mulai;harga_detail;aturan_pemakaian;dosis;efek_samping;interaksi_obat;jangka_waktu_penggunaan;komposisi;kontra_indikasi;stok;image
10;Polycrol Forte;Lambung;Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung;All;32500;All: Rp32.500;Diminum 1 jam setelah makan dan menjelang tidur malam;all: 1-2 tablet kunyah 3 kali sehari;"Elek samping yang umum adalah sembelit; diare; mual; muntah; dan gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan";Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obal tersebut;Tidak dianjurkan untuk menggunakan Polycrol Forte Tablet lebih dari 2 minggu, kecuali atas petunjuk dokter;"Aluminium Hydroxide 400 mg; Magnesium Hydroxide 200 mg; Simethicone 80 mg";Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat;;https://tse.mm.bing.net/th?q=Polycrol%20Forte%20obat%20kemasan
11;Polysilane Cair;Lambung;Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung;Cair 100 Ml, Cair 180 Ml;26000;"Cair 100 Ml: Rp26.000; Cair 180 Ml: Rp37.500";Dikonsumsi 1-2 jam setelah makan dan menjelang tidur;"Dewasa: 5 - 10 ml, diminum 3-4 kali per hari; Anak 6-12 tahun: 2.5 - 5 ml diminum 3-4 kali per hari";"Sembelit; diare; mual; muntah dan gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan";Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut;Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang;"Aluminium Hydroxide 200 mg; Magnesium Hydroxide 200 mg; Simethicone 80 mg; Sorbitol; Sodium Carbonate; Methylparaben; Alcohol; Hypromellose Propylparaben; Peppermint Oil; Citric Acid Monohydrate; Glycerol; Saccharin Sodium; Purifiert Water Sodium Bicarbonate; Anise Oil";Jangan diberikan pada penderita gangguan fungsi ginjal yang berat, karena dapat menimbulkan hipermagnesia kadar magnesium dalam darah meningkat;;https://tse.mm.bing.net/th?q=Polysilane%20Cair%20obat%20kemasan
12;polysilane Tablet;Lambung;Untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus dua belas jari, dengan gejala-gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung, dan perasaan penuh pada lambung;Box, Strip;10000;"Strip: Rp10.000; Box: Rp49.000";Berikan sebelum makan, pada saat perut kosong dikunyah;"Dewasa: 3-4 kali sehari 1-2 tablet; Anak 4 tahun: 2 tablet per hari";"Sembelit; diare; mual; muntah; deplesi fosfat";"Penurunan efektivitas aspirin, cimetidine, pazopanib, digoxin, dan beberapa antibiotik, seperti ciprofloxacin, levofloxacin, tetracycline, doxycycline, cefuroxime, atau azithromycin; Peningkatan risiko terjadinya keracunan alumunium jika digunakan dengan vitamin D3";Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang;"Aluminium Hydroxide 200 mg; Magnesium Hydroxide 200 mg; Simethicone 80 mg; Peppermint Oil; Talc; Menthol Crystal; Sucrose; Alcohol; Colloidal Silicon Dioxide; Povidone; Sorbitol; Purified Water";Hipersensitif dan penderita gangguan ginjal berat;;https://tse.mm.bing.net/th?q=polysilane%20Tablet%20obat%20kemasan
13;Promag Cair 60 ml;Lambung;PROMAG digunakan untuk mengurangi gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung;All;13000;All: Rp13.000;"Kocok dahulu sebelum diminum; Dianjurkan untuk meminum obat ini segera pada saat timbul gejala dan dianjurkan 1-2 jam sebelum atau setelah makan dan sebelum tidur";"Dewasa: 1-2 sendok takar 5-10 ml, 3-4 kali sehari; Anak usia 6-12 tahun: 1 sendok takar 5 ml, 3-4 kali sehari";"Umumnya adalah sembelit; diare; mual; muntah; dan gejala-gejala tersebut akan hilang bila pemakaian obat dihentikan";Pemberian bersama sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obat tersebut;Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang;;Pasien yang memiliki riwayat alergi terhadap salah satu komponen obat;;https://tse.mm.bing.net/th?q=Promag%20Cair%2060%20ml%20obat%20kemasan
14;Promag Sachet Herbal;Lambung;Mengatasi perut kembung dan begah;Box, Sach;2500;"Sach: Rp2.500; Box: Rp14.500";Bisa diminum langsung atau dicampur dengan air hangat, kocok sebelum diminum;all: 3 x sehari 1 sachet;"Pemakaian obat umumnya memiliki efek_samping tertentu dan sesuai dengan masing- masing individu; Jika terjadi efek_samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis";"Penurunan penyerapan bifosfonat, digoxin, estramustine, zat besi, pazopanib, strontium, obat golongan tetrasiklin, obat golongan quinolone, atau obat tiroid, seperti levothyroxine; Penurunan efektivitas obat yang mengandung estrogen, misalnya pil KB; Peningkatan kadar magnesium dalam darah (hipermagnesemia) terutama pada penderita gangguan fungsi ginjal, jika digunakan dengan vitamin D3";Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang;"Jahe Merah 50 mg; Adas 10 mg; Peppermint 12.5 mg; Akar Manis 300 mg; Kunyit 50 mg; Ananas 50 mg; Royal Jelly 10 mg; Madu 1 g";Jika terjadi efek_samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis;;https://tse.mm.bing.net/th?q=Promag%20Sachet%20Herbal%20obat%20kemasan
15;Promag Sachet Suspensi;Lambung;Untuk mengurangi gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung;Box, Sach;2500;"Sach: Rp2.500; Box: Rp14.000";Satu jam sebelum atau sesudah makan, dan sebelum tidur malam;"Dewasa: 3-4 x sehari 1-2 sachet; anak 6-12 tahun: 12-1 sachet";"Tidak selalu, tapi ada beberapa efek_samping yang mungkin terjadi usai konsumsi Promag, seperti diare, konstipasi, mual, dan muntah; Gejala-gejala di atas biasanya akan hilang ketika Anda berhenti mengonsumsi obat";;Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang;"Hydrotalcite 400 mg; Magnesium Hydroxide 300 mg; Simethicone 100 mg";"jangan gunakan obat Promag jika Anda alergi pada salah satu kandungannya; Obat tersebut juga tidak dianjurkan untuk diberikan pada penderita gangguan ginjal; Promag mengandung magnesium sehingga dapat menimbulkan hipermagnesemia";;https://tse.mm.bing.net/th?q=Promag%20Sachet%20Suspensi%20obat%20kemasan
16;Promag Tablet Kunyah;Lambung;Meringankan gejala-gejala yang berhubungan dengan kelebihan asam lambung, gastritis, tukak lambung, tukak usus 12 jari dengan gejala seperti mual, nyeri lambung, nyeri ulu hati, kembung dan perasaan penuh pada lambung;Box, Strip;9000;"Strip: Rp9.000; Box: Rp27.000";Dianjurkan untuk meminum obat ini segera pada saat timbul gejala dan dilanjutkan 1-2 jam sebelum makan atau sesudah makan dan sebelum tidur. Obat ini dapat diminum dengan air atau dikunyah langsung;"Dewasa dan anak 12 tahun: 3-4 kali sehari 1-2 tablet; Anak-anak 6 - 12 tahun: 3 - 4 kali sehari 0.5 - 1 tablet. Atau menurut petunjuk dokter";"sembelit; diare; mual; muntah";;Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang;"Hydrotalcite 200 mg; Magnesium Hydroxide 150 mg; Simethicone 50 mg";Hipersensitif terhadap komponen obat;;https://tse.mm.bing.net/th?q=Promag%20Tablet%20Kunyah%20obat%20kemasan
17;Bisolvon Extra;Batuk;Obat ini digunakan sebagai sekretolitik mukolitik dan ekspektoran untuk meredakan batuk berdahak dan mempermudah pengeluaran dahak;All;54000;All: Rp54.000;Dikonsumsi sesudah makan.;"Dewasa dan Anak diatas 12 tahun: 10 ml sendok takar 5 ml, diberikan 3 kali perhari; Anak 6-12 tahun: 5 ml 1 sendok takar 5 ml, diberikan 3 kali per hari; Anak 2-6 tahun: 2.5 ml setengah sendok takar 5 ml, diberikan 3 kali per hari";"Gangguan Gl ringan. Reaksi alergi, terutama ruam kulit; Peningkatan kadar transaminase, sakit kepala dan vertigo";Pemberian bersamaan dengan antibiotika (amoksisilin, sefuroksim, eritromisin, doksisiklin) akan meningkatkan konsentrasi antibiotika;Jangan mengonsumsi Bisolvon lebih dari 14 hari, kecuali jika disarankan oleh dokter;"Bromhexine hydrochloride 4 mg; Guaifenesin 100 mg";"BISOLVON EXTRA tidak boleh digunakan pada pasien yang diketahui hipersensitif terhadap bromheksin, guaifenesin atau komponen lain dalam formula; Guaifenesin dianggap tidak aman pada pasien dengan porfiria karena telah terbukti porphyrinogenic pada hewan; Pada kasus kelainan bawaan yang sifatnya jarang yaitu kondisi dimana terdapat ketidkcoockan dengan zat tambahan yang terkandung dalam produk obat lampiran komposisi produk maka penggunaan produk dikontraindikasikan";;https://tse.mm.bing.net/th?q=Bisolvon%20Extra%20obat%20kemasan
18;Cohistan;Batuk;COHISTAN EXPECTORANT mencairkan sekret yang kental untuk mempermudah pengeluarannya dan meredakan batuk produktif dan batuk karena alergi;All;26500;All: Rp26.500;Sesudah makan;"Dewasa: 3-4 x sehari 1 sendok makan 15 ml; Anak usia 7-12 tahun: 3-4 x sehari 12 sendok makan 15 ml; Anak usia 2-6 tahun: 3-4 x sehari 1 sendok teh 5 ml";"Mulut kering; mengantuk; pandangan kabur; mual";"Peningkatan efek antikolinergik dari MAOI yang berpotensi fatal; Peningkatan kadar phenytoin dalam darah sehingga meningkatkan risiko terjadinya keracunan obat; Peningkatan efek antimuskarinik dari antidepresan trisiklik; Peningkatan efek kantuk dan risiko terjadinya komplikasi jika digunakan dengan obat antinyeri golongan opioid, obat antiansietas, obat penenang, atau obat antipsikotik";Obat ini tidak bisa digunakan jangka panjang;"Guaifenesin 50 mg; Klorfenamin Maleat 1 mg";Hipersensitif terhadap komponen obat ini;;https://tse.mm.bing.net/th?q=Cohistan%20obat%20kemasan
19;Decadryl;Batuk;Untuk meringankan batuk berdahak karena alergi;Cair 120 Ml, Cair 60 Ml;17000;"Cair 60 Ml: Rp17.000; Cair 120 Ml: Rp21.500";Sesudah makan;"Dewasa: 1-2 Sendok takar tiap 3 jam, tidak boleh lebih dari 14 sendok takar per hari; Anak 6-12 tahun: 12 - 1 sendok takar tiap 3 jam, tidak boleh lebih dari 6 sendok takar per hari";"mengantuk; retensi urin; mulut kering; gangguan pencernaan; reaksi alergi pada kulit; sedasi; pusing";"Diphenhydramine HCI mengurangi efek oral antikoagulan melalui induksi enzim; Diphenhydramine HCl menghasilkan efek berbahaya bila diberikan bersama alkohol, hipnotik, sedatif, tranquilizer dan obat-obat yang menyebabkan depresi susunan saraf pusat; Diphenhydramine HCI dan Phenobarbital keduanya merupakan enzyme inducers, pemberian bersamaan mengurangi aktivitas antihistamin dan mengurangi aktivitas barbiturat; Diphenhydramine HCl meningkatkan efek kardiovaskuler dari Epinephrine dan Norepinephrine; Ammonium chloride menurunkan pH air kemih, sehingga mengurangi ekskresi Salicylic acid. Dengan demikian kadar Salicylic acid dalam darah meningkat; Ammonium chloride dengan Sulfonamide menyebabkan terbentuknya kristal dalam air kemih dan komplikasi karena terjadi penurunan pH air kemih";Obat ini tidak bisa digunakan jangka panjang;"Diphenhydramine HCI 13.5 mg; Ammonium chloride 131.5 mg";"Penderita hipersensitif terhadap salah satu komponen obat ini; Tidak boleh digunakan pada bayi baru lahir atau prematur; Terapi antibiotik ototoksik karena akan menimbulkan reaksi ototoksik";;https://tse.mm.bing.net/th?q=Decadryl%20obat%20kemasan
20;Fluimucil Dry Syrup;Batuk;Mengencerkan dahak di saluran pernapasan;All;92400;All: Rp92.400;"Tambahkan air sampai tanda garis merah Tutuplah botol rapat kemudian kocok botol dalam keadaan terbalik; Setelah dikocok permukaan sirup akan terlihat dibawah tanda; Tambahkan air lagi sampai batas tanda. Kocok sampai homogen; Setelah dicampur, sirup digunakan maksimal 12 hari";"Dewasa: 2 sendok takar 10 ml, 2-3 kali per hari; Anak-anak 2-4 tahun: 2-4 kali sehari, 200 mg/hari; Anak-anak diatas 4 tahun: 300 mg/hari";"Bronkospasme; gangguan lambung; stomatitis; rinore; sakit kepala; tinitus; urtikaria; menggigil; demam; hemoptitis; reaksi anafilaksis (jarang terjadi)";"antitusif; tetrasiklin; nitrogliserin";Jangan menggunakan lebih dari dosis yang dianjurkan Lama pengobatan 5 - 10 hari;Acetylcysteine 100 mg;Hipersensitif terhadap Acetylcysteine atau zat tambahan obat ini Anak-anak dibawah 2 tahun;;https://tse.mm.bing.net/th?q=Fluimucil%20Dry%20Syrup%20obat%20kemasan
21;herbaKOF;Batuk;Membantu meredakan batuk dan membantu melegakan tenggorokan;All;15500;All: Rp15.500;setelah makan;"Dewasa: 3 x sehari, 3 sendok takar 15 ml; Anak-anak 6-12 tahun: 3 x sehari, 1 sendok takar 5 ml";Belum ada efek_samping yang dilaporkan;"Belum diketahui interaksi antarobat yang pasti terjadi jika Herbakof Herbal Cough Syrup 100 ml digunakan bersama obat, suplemen, atau ptoduk herbal lain; Agar aman, selalu konsultasikan dengan dokter jika Anda berencana mengonsumsi produk ini bersama obat lain";;"Vitex trifolia falium 1 g; Zingiber officinale rhizoma 0.25 g; Abrus precatorius folium 0.25 g; Phaleria macrocarpa pericarpium 0.2 g; Natrium benzoat; metil paraben; aspartam; madu cair; perisa jeruk; perisa peppermint";Pada pasien yang memiliki riwayat hipersensitifitas terhadap kandungan komposisi pada produk ini;;https://tse.mm.bing.net/th?q=herbaKOF%20obat%20kemasan
22;Ikadryl;Batuk;Untuk meredakan batuk karena alergi dan influenza serta melegakan saluran pernapasan;All;18000;All: Rp18.000;Dapat dikonsumsi sebelum atau sesudah makan;"Dewasa: 2 sendok takar 10 ml, 3 kali per hari; Anak-anak 6-12 tahun: 1 sendok takar 5 ml, 3 kali per hari";"Gangguan Gl; anoreksia atau peningkatan nafsu makan; penglihatan kabur; gangguan kencing; mulut kering; dada terasa terikat; hipotensi; lemas otot; tinitus; sakit kepala; serangan epilesi; fotosensitif";Jika obat ini digunakan bersama obat penenang, obat antidepresan, atau obat antihistamin lain, bisa terjadi efek kantuk yang berat dan efek_samping yang bisa berakibat fatal;Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati;"Diphenhydramine HCI 12.5 mg; Ammonium Chloride 125 mg";"bayi baru lahir dan bayi prematur; ibu menyusui; orang yang alergi pada salah satu kandungannya";;https://tse.mm.bing.net/th?q=Ikadryl%20obat%20kemasan
